dagsetning;factor_level;logbodinn_fridagur;logbodinn_fridagur_eftir_hadegi
2008-01-01;1;1;0
2008-03-20;1;1;0
2008-03-21;1;1;0
2008-03-23;1;1;0
2008-03-24;1;1;0
2008-04-24;1;1;0
2008-05-01;1;1;0
2008-05-11;1;1;0
2008-05-12;1;1;0
2008-06-17;1;1;0
2008-08-04;1;1;0
2008-12-24;0,5;0;1
2008-12-25;1;1;0
2008-12-26;1;1;0
2008-12-31;0,5;0;1
2009-01-01;1;1;0
2009-04-09;1;1;0
2009-04-10;1;1;0
2009-04-12;1;1;0
2009-04-13;1;1;0
2009-04-23;1;1;0
2009-05-01;1;1;0
2009-05-21;1;1;0
2009-05-31;1;1;0
2009-06-01;1;1;0
2009-06-17;1;1;0
2009-08-03;1;1;0
2009-12-24;0,5;0;1
2009-12-25;1;1;0
2009-12-26;1;1;0
2009-12-31;0,5;0;1
2010-01-01;1;1;0
2010-04-01;1;1;0
2010-04-02;1;1;0
2010-04-04;1;1;0
2010-04-05;1;1;0
2010-04-22;1;1;0
2010-05-01;1;1;0
2010-05-13;1;1;0
2010-05-23;1;1;0
2010-05-24;1;1;0
2010-06-17;1;1;0
2010-08-02;1;1;0
2010-12-24;0,5;0;1
2010-12-25;1;1;0
2010-12-26;1;1;0
2010-12-31;0,5;0;1
2011-01-01;1;1;0
2011-04-21;1;1;0
2011-04-21;1;1;0
2011-04-22;1;1;0
2011-04-24;1;1;0
2011-04-25;1;1;0
2011-05-01;1;1;0
2011-06-02;1;1;0
2011-06-12;1;1;0
2011-06-13;1;1;0
2011-06-17;1;1;0
2011-08-01;1;1;0
2011-12-24;0,5;0;1
2011-12-25;1;1;0
2011-12-26;1;1;0
2011-12-31;0,5;0;1
2012-01-01;1;1;0
2012-04-05;1;1;0
2012-04-06;1;1;0
2012-04-08;1;1;0
2012-04-09;1;1;0
2012-04-19;1;1;0
2012-05-01;1;1;0
2012-05-17;1;1;0
2012-05-27;1;1;0
2012-05-28;1;1;0
2012-06-17;1;1;0
2012-08-06;1;1;0
2012-12-24;0,5;0;1
2012-12-25;1;1;0
2012-12-26;1;1;0
2012-12-31;0,5;0;1
2013-01-01;1;1;0
2013-03-28;1;1;0
2013-03-29;1;1;0
2013-03-31;1;1;0
2013-04-01;1;1;0
2013-04-25;1;1;0
2013-05-01;1;1;0
2013-05-09;1;1;0
2013-05-19;1;1;0
2013-05-20;1;1;0
2013-06-17;1;1;0
2013-08-05;1;1;0
2013-12-24;0,5;0;1
2013-12-25;1;1;0
2013-12-26;1;1;0
2013-12-31;0,5;0;1
2014-01-01;1;1;0
2014-04-17;1;1;0
2014-04-18;1;1;0
2014-04-20;1;1;0
2014-04-21;1;1;0
2014-04-24;1;1;0
2014-05-01;1;1;0
2014-05-29;1;1;0
2014-06-08;1;1;0
2014-06-09;1;1;0
2014-06-17;1;1;0
2014-08-04;1;1;0
2014-12-24;0,5;0;1
2014-12-25;1;1;0
2014-12-26;1;1;0
2014-12-31;0,5;0;1
2015-01-01;1;1;0
2015-04-02;1;1;0
2015-04-03;1;1;0
2015-04-05;1;1;0
2015-04-06;1;1;0
2015-04-23;1;1;0
2015-05-01;1;1;0
2015-05-14;1;1;0
2015-05-24;1;1;0
2015-05-25;1;1;0
2015-06-17;1;1;0
2015-08-03;1;1;0
2015-12-24;0,5;0;1
2015-12-25;1;1;0
2015-12-26;1;1;0
2015-12-31;0,5;0;1
2016-01-01;1;1;0
2016-03-24;1;1;0
2016-03-25;1;1;0
2016-03-27;1;1;0
2016-03-28;1;1;0
2016-04-21;1;1;0
2016-05-01;1;1;0
2016-05-05;1;1;0
2016-05-15;1;1;0
2016-05-16;1;1;0
2016-06-17;1;1;0
2016-08-01;1;1;0
2016-12-24;0,5;0;1
2016-12-25;1;1;0
2016-12-26;1;1;0
2016-12-31;0,5;0;1
2017-01-01;1;1;0
2017-04-13;1;1;0
2017-04-14;1;1;0
2017-04-16;1;1;0
2017-04-17;1;1;0
2017-04-20;1;1;0
2017-05-01;1;1;0
2017-05-25;1;1;0
2017-06-04;1;1;0
2017-06-05;1;1;0
2017-06-17;1;1;0
2017-08-07;1;1;0
2017-12-24;0,5;0;1
2017-12-25;1;1;0
2017-12-26;1;1;0
2017-12-31;0,5;0;1
2018-01-01;1;1;0
2018-03-29;1;1;0
2018-03-30;1;1;0
2018-04-01;1;1;0
2018-04-02;1;1;0
2018-04-19;1;1;0
2018-05-01;1;1;0
2018-05-10;1;1;0
2018-05-20;1;1;0
2018-05-21;1;1;0
2018-06-17;1;1;0
2018-08-06;1;1;0
2018-12-24;0,5;0;1
2018-12-25;1;1;0
2018-12-26;1;1;0
2018-12-31;0,5;0;1
2019-01-01;1;1;0
2019-04-18;1;1;0
2019-04-19;1;1;0
2019-04-21;1;1;0
2019-04-22;1;1;0
2019-04-25;1;1;0
2019-05-01;1;1;0
2019-05-30;1;1;0
2019-06-09;1;1;0
2019-06-10;1;1;0
2019-06-17;1;1;0
2019-08-05;1;1;0
2019-12-24;0,5;0;1
2019-12-25;1;1;0
2019-12-26;1;1;0
2019-12-31;0,5;0;1
2020-01-01;1;1;0
2020-04-09;1;1;0
2020-04-10;1;1;0
2020-04-12;1;1;0
2020-04-13;1;1;0
2020-04-23;1;1;0
2020-05-01;1;1;0
2020-05-21;1;1;0
2020-05-31;1;1;0
2020-06-01;1;1;0
2020-06-17;1;1;0
2020-08-03;1;1;0
2020-12-24;0,5;0;1
2020-12-25;1;1;0
2020-12-26;1;1;0
2020-12-31;0,5;0;1
2021-01-01;1;1;0
2021-04-01;1;1;0
2021-04-02;1;1;0
2021-04-04;1;1;0
2021-04-05;1;1;0
2021-04-22;1;1;0
2021-05-01;1;1;0
2021-05-13;1;1;0
2021-05-23;1;1;0
2021-05-24;1;1;0
2021-06-17;1;1;0
2021-08-02;1;1;0
2021-12-24;0,5;0;1
2021-12-25;1;1;0
2021-12-26;1;1;0
2021-12-31;0,5;0;1
2022-01-01;1;1;0
2022-04-14;1;1;0
2022-04-15;1;1;0
2022-04-17;1;1;0
2022-04-18;1;1;0
2022-04-21;1;1;0
2022-05-01;1;1;0
2022-05-26;1;1;0
2022-06-05;1;1;0
2022-06-06;1;1;0
2022-06-17;1;1;0
2022-08-01;1;1;0
2022-12-24;0,5;0;1
2022-12-25;1;1;0
2022-12-26;1;1;0
2022-12-31;0,5;0;1
2023-01-01;1;1;0
2023-04-06;1;1;0
2023-04-07;1;1;0
2023-04-09;1;1;0
2023-04-10;1;1;0
2023-04-20;1;1;0
2023-05-01;1;1;0
2023-05-18;1;1;0
2023-05-28;1;1;0
2023-05-29;1;1;0
2023-06-17;1;1;0
2023-08-07;1;1;0
2023-12-24;0,5;0;1
2023-12-25;1;1;0
2023-12-26;1;1;0
2023-12-31;0,5;0;1
2024-01-01;1;1;0
2024-03-28;1;1;0
2024-03-29;1;1;0
2024-03-31;1;1;0
2024-04-01;1;1;0
2024-04-25;1;1;0
2024-05-01;1;1;0
2024-05-09;1;1;0
2024-05-19;1;1;0
2024-05-20;1;1;0
2024-06-17;1;1;0
2024-08-05;1;1;0
2024-12-24;0,5;0;1
2024-12-25;1;1;0
2024-12-26;1;1;0
2024-12-31;0,5;0;1
2025-01-01;1;1;0
2025-04-17;1;1;0
2025-04-18;1;1;0
2025-04-20;1;1;0
2025-04-21;1;1;0
2025-04-24;1;1;0
